codigo_rec;recinto;Direccion;comuna;region;
7185;ESCUELA ESCUADRON;AVENIDA LA MORA 4580  ;CORONEL;DEL BIOBIO;
1087;ESCUELA FRANCISCO COLOANE;ALONSO DE ERCILLA SIN NUMERO PUERTO SUR, ISLA SANTA MARIA;CORONEL;DEL BIOBIO;
3135;ESCUELA GENARO RIOS CAMPOS;LAGO LLANQUIHUE 911 ESQUINA CALLE YOBILO;CORONEL;DEL BIOBIO;
1077;ESCUELA JORGE ROJAS MIRANDA;AVENIDA LA PAZ 198 CERRO MERQUIN;CORONEL;DEL BIOBIO;DE LOS RIOS
2929;ESCUELA JUAN JOSE LATORRE BENAVENTE;PUERTO NORTE SIN NUMERO ISLA SANTA MARIA;CORONEL;DEL BIOBIO;
1078;ESCUELA OCTAVIO SALINAS CARIAGA;BENJAMIN FRANKLIN 90 POBLACION BERTA;CORONEL;DEL BIOBIO;
1080;ESCUELA REMIGIO CASTRO ABURTO;BALMACEDA 120  ;CORONEL;DEL BIOBIO;
3397;ESCUELA ROSITA RENARD;GABRIELA MISTRAL 1501 POBLACION CAMILO OLAVARRIA;CORONEL;DEL BIOBIO;
3134;ESCUELA VISTA HERMOSA;LOS ACACIOS 901 CERRO CORCOVADO;CORONEL;DEL BIOBIO;
1090;INSTITUTO DE HUMANIDADES ANTONIO MORENO CASAMITJANA;CERRO EL PLOMO 1118 ESCUADRON SUR;CORONEL;DEL BIOBIO;
1083;LICEO ANTONIO SALAMANCA MORALES;COCHRANE 79  ;CORONEL;DEL BIOBIO;
1091;LICEO BICENTENARIO DE CORONEL;AVENIDA LA MORA 4620 ESCUADRON;CORONEL;DEL BIOBIO;
1092;LICEO BICENTENARIO DE EXCELENCIA INDUSTRIAL METODISTA CORONEL;LOS MOLINEROS 22 LAGUNILLAS;CORONEL;DEL BIOBIO;
3037;LICEO BICENTENARIO DE EXCELENCIA TECNOLOGICO FEDERICO SCHWAGER;AVENIDA 21 DE MAYO 83  ;CORONEL;DEL BIOBIO;
1084;LICEO COMERCIAL ANDRES BELLO LOPEZ;YOBILO 120 VILLA MORA;CORONEL;DEL BIOBIO;
1095;LICEO TECNICO PROFESIONAL DE LA MADERA;AVENIDA CORDILLERA 3581 LAGUNILLAS;CORONEL;DEL BIOBIO;
1085;LICEO YOBILO DE CORONEL;ACEVEDO HERNANDEZ 1050  ;CORONEL;DEL BIOBIO;
7220;ESCUELA 04 DE OCTUBRE;SARGENTO ALDEA 680  ;CURANILAHUE;DEL BIOBIO;
3094;ESCUELA BUENA ESPERANZA;LOS AROMOS 226  ;CURANILAHUE;DEL BIOBIO;
1096;ESCUELA COLICO SUR;PEDRO VIRA OPORTUS 35  ;CURANILAHUE;DEL BIOBIO;
3211;ESCUELA GABRIELA MISTRAL;INES DE SUAREZ 170  ;CURANILAHUE;DEL BIOBIO;
2041;COLEGIO TERESIANO ENRIQUE DE OSSO;AVENIDA OSSA 1157  ;LA REINA;METROPOLITANA DE SANTIAGO;
1097;ESCUELA PABLO NERUDA;PASAJE 4 100 POBLACION ELEUTERIO RAMIREZ;CURANILAHUE;DEL BIOBIO;
1100;ESCUELA SAN JOSE DE COLICO;CALLE 18 DE SEPTIEMBRE 250 SAN JOSE DE COLICO;CURANILAHUE;DEL BIOBIO;
1099;LICEO POLIVALENTE MARIANO LATORRE;CAUPOLICAN 929  ;CURANILAHUE;DEL BIOBIO;
1102;ESCUELA BASICA FLORIDA;CARLOS CONDELL 679  ;FLORIDA;DEL BIOBIO;
1101;LICEO COPIULEMU;LAS ROSAS SIN NUMERO COPIULEMU;FLORIDA;DEL BIOBIO;
2957;LICEO INES ENRIQUEZ FRODDEN;RUTA N-48-O 759 (EX SARGENTO ALDEA);FLORIDA;DEL BIOBIO;
1104;COLEGIO ALONKURA;CURANILAHUE 499 POBLACION LAN C;HUALPEN;DEL BIOBIO;
1105;COLEGIO BASICO VILLA ACERO;QUIRIHUE 8781 SECTOR VILLA ACERO;HUALPEN;DEL BIOBIO;
1106;COLEGIO DE LOS SAGRADOS CORAZONES;AVENIDA COLON 8956  ;HUALPEN;DEL BIOBIO;
1107;COLEGIO MONTANER DE HUALPEN;AVENIDA GRECIA 1911  ;HUALPEN;DEL BIOBIO;
3173;COLEGIO PRESTON SCHOOL;GRAN BRETAÑA 4630  ;HUALPEN;DEL BIOBIO;
1108;COLEGIO RUCALHUE;AVENIDA RUCALHUE 780 PARQUE RESIDENCIAL BIOBIO;HUALPEN;DEL BIOBIO;
1111;ESCUELA HELEN KELLER ADAMS;FINLANDIA 932 POBLACION ARMANDO ALARCON DEL CANTO;HUALPEN;DEL BIOBIO;
1112;ESCUELA REPUBLICA DEL PERU;HUNGRIA 2970 SECTOR EL TRIANGULO;HUALPEN;DEL BIOBIO;
1113;ESCUELA THOMAS JEFFERSON D 465;FINLANDIA 912 POBLACION ARMANDO ALARCON DEL CANTO;HUALPEN;DEL BIOBIO;
1114;LICEO INDUSTRIAL DE LA CONSTRUCCION HERNAN VALENZUELA LEYTON;BUCAREST 2750 POBLACION ARMANDO ALARCON DEL CANTO;HUALPEN;DEL BIOBIO;
1115;LICEO SIMON BOLIVAR;FRUTILLAR 8630 POBLACION LAN B;HUALPEN;DEL BIOBIO;
1116;LICEO TECNICO PROFESIONAL LUCILA GODOY ALCAYAGA;SUIZA 2692 POBLACION ARMANDO ALARCON DEL CANTO;HUALPEN;DEL BIOBIO;
1117;LICEO TECNICO PROFESIONAL PEDRO DEL RIO ZAÑARTU;GENOVA 8260 POBLACION LAN C;HUALPEN;DEL BIOBIO;
13219;COLEGIO CHRISTIAN COLLEGE;FREIRE 689  ;HUALQUI;DEL BIOBIO;
1118;ESCUELA BASICA LOS LIBERTADORES;YAGANES 290  ;HUALQUI;DEL BIOBIO;
1122;ESCUELA CARLOS ALBERTO FERNANDEZ CASTILLO;BENAVENTE SIN NUMERO SECTOR TALCAMAVIDA;HUALQUI;DEL BIOBIO;
1120;ESCUELA NUEVA REPUBLICA;ONAS 451  ;HUALQUI;DEL BIOBIO;
7295;COLEGIO SAN JORGE;RECINTO FACELA SIN NUMERO  ;LAJA;DEL BIOBIO;
1123;ESCUELA ANDRES ALCAZAR;BAQUEDANO 210  ;LAJA;DEL BIOBIO;
1124;ESCUELA JOSE ABELARDO NUÑEZ;BALMACEDA 320  ;LAJA;DEL BIOBIO;
1125;ESCUELA NIVEQUETEN;LOS MAGNOLIOS 230  ;LAJA;DEL BIOBIO;
3133;ESCUELA PARTICULAR ALFA Y OMEGA;EL PINO 130  ;LAJA;DEL BIOBIO;
13222;LICEO HEROES DE LA CONCEPCIÓN AREA TECNICO PROFESIONAL;AVENIDA LOS RIOS 800  ;LAJA;DEL BIOBIO;DE LOS LAGOS
1126;LICEO POLITECNICO HEROES DE LA CONCEPCION;BAQUEDANO 273  ;LAJA;DEL BIOBIO;
1127;ESCUELA ARMANDO ARANCIBIA OLIVOS;PARCELA 32 ISLA MOCHA;LEBU;DEL BIOBIO;
2880;ESCUELA ARTURO EBENSPERGER RICHTER;DIEGO DUBLE 225  ;LEBU;DEL BIOBIO;
1110;ESCUELA BLANCA ESTELA PRAT CARVAJAL;BULGARIA 3421 POBLACION ESPAÑA;HUALPEN;DEL BIOBIO;
2931;COLEGIO PARQUE CENTRAL;LAS TORTOLAS 7950 PARQUE CENTRAL;HUALPEN;DEL BIOBIO;
2071;COLEGIO REDLAND SCHOOL;CAMINO EL ALBA 11357  ;LAS CONDES;METROPOLITANA DE SANTIAGO;
1128;ESCUELA FRESIA GRACIELA MULLER RUIZ;MACKAY 544  ;LEBU;DEL BIOBIO;
1132;ESCUELA GUILLERMO RODRIGUEZ RIOBO;CARLOS IBAÑEZ DEL CAMPO 505 VILLA SANTA ROSA;LEBU;DEL BIOBIO;
1131;ESCUELA PEHUEN;AVENIDA LOS COPIHUES 491 PEHUEN;LEBU;DEL BIOBIO;
1129;LICEO BICENTENARIO ISIDORA RAMOS DE GAJARDO;LUIS CRUZ MARTINEZ 93  ;LEBU;DEL BIOBIO;
1130;LICEO POLIVALENTE DR RIGOBERTO IGLESIAS BASTIAS;SAAVEDRA 138  ;LEBU;DEL BIOBIO;
13162;ESCUELA BASICA ORLANDO DELGADO ZUÑIGA;DIEGO DE ALMAGRO 410 ANTIHUALA;LOS ALAMOS;DEL BIOBIO;
1134;ESCUELA FELIX EYHERAMENDY;PEDRO EYHERAMENDY 579  ;LOS ALAMOS;DEL BIOBIO;
7328;ESCUELA JOSE ULLOA FIERRO;CALLE CORSINO ULLOA 55 SECTOR TEMUCO CHICO;LOS ALAMOS;DEL BIOBIO;
2881;ESCUELA LOS GUALLES;RUTA 160 KM 100 SIN NUMERO SECTOR LOS RIOS;LOS ALAMOS;DEL BIOBIO;
2911;ESCUELA ZAIDA ARANEDA VIGUERAS;BAJADA EL MOLINO 56 SECTOR TRES PINOS;LOS ALAMOS;DEL BIOBIO;
2985;LICEO CLAUDIO FLORES SOTO;AVENIDA DIEGO PORTALES 824 CERRO ALTO;LOS ALAMOS;DEL BIOBIO;
1135;LICEO CRISTO REDENTOR;CALLE TRIHUECO 396 POBLACION CAUPOLICAN;LOS ALAMOS;DEL BIOBIO;
3169;COLEGIO ALTO LAUQUEN;AVENIDA LAUQUEN 555 PAILLIHUE;LOS ANGELES;DEL BIOBIO;
1138;COLEGIO DON ORIONE;VALDIVIA 1101  ;LOS ANGELES;DEL BIOBIO;
1140;COLEGIO INGLES WOODLAND;AVENIDA ALMIRANTE LATORRE 525  ;LOS ANGELES;DEL BIOBIO;
1162;COLEGIO MARIA INMACULADA DE LOS ANGELES;LAS QUINTAS 188 PAILLIHUE;LOS ANGELES;DEL BIOBIO;
1142;COLEGIO SAN GABRIEL ARCANGEL;AVENIDA DR. MANUEL RIOSECO 855 SECTOR EL AVELLANO;LOS ANGELES;DEL BIOBIO;
1164;ESCUELA ARTURO ALESSANDRI PALMA;AVENIDA ORIENTE 2325 PARQUE LAUQUEN;LOS ANGELES;DEL BIOBIO;
1143;ESCUELA BASICA 11 DE SEPTIEMBRE;TALCAHUANO 385 LOS ANGELES;LOS ANGELES;DEL BIOBIO;
1137;ESCUELA BASICA CHACAYAL SUR;CAMINO A QUILLECO SIN NUMERO SECTOR CHACAYAL SUR;LOS ANGELES;DEL BIOBIO;
2885;ESCUELA BASICA EL NOGAL;CAMINO A SANTA CLARA KM 8 SIN NUMERO  ;LOS ANGELES;DEL BIOBIO;
1147;ESCUELA ESPAÑA;BULNES 435  ;LOS ANGELES;DEL BIOBIO;
3035;ESCUELA BASICA LA AGUADA DE CUEL;CAMINO LOS ANGELES – COIGUE KM 14 SIN NUMERO  ;LOS ANGELES;DEL BIOBIO;
1173;LICEO THOMPSON MATTHEWS;JUAN MANUEL VALLE 430 LOTA ALTO;LOTA;DEL BIOBIO;
3036;ESCUELA BASICA LA LEYENDA;CAMINO CERRO COLORADO KM 28 SIN NUMERO SECTOR MORTANDAD;LOS ANGELES;DEL BIOBIO;
3096;ESCUELA BASICA LA QUEBRADA;CAMINO EL PEDREGAL KM 26 SIN NUMERO SECTOR PEDREGAL;LOS ANGELES;DEL BIOBIO;
1165;ESCUELA BASICA LA RINCONADA DEL SALTO;SALTO DEL LAJA KM 30 SIN NUMERO CAMINO A PARAGUAY KILOMETRO 4;LOS ANGELES;DEL BIOBIO;
2883;ESCUELA BASICA LAS QUINTAS;CAMINO LAS TRANCAS KM 10 SIN NUMERO SECTOR LAS QUINTAS;LOS ANGELES;DEL BIOBIO;
1161;ESCUELA BASICA MILLANTU;MIGUEL SAGARDIA 100 SECTOR MILLANTU;LOS ANGELES;DEL BIOBIO;
1144;ESCUELA BASICA REPUBLICA DE ISRAEL;ESPAÑA 200 POBLACION GALVARINO;LOS ANGELES;DEL BIOBIO;
1166;ESCUELA BASICA ITILHUE;ANDRES MATERNE SIN NUMERO SAN CARLOS DE PUREN;LOS ANGELES;DEL BIOBIO;
1163;COLEGIO SANTO TOMAS;O'HIGGINS 756 PAILLIHUE;LOS ANGELES;DEL BIOBIO;
2110;ESCUELA GOLDA MEIR;DORSAL 6001  ;LO PRADO;METROPOLITANA DE SANTIAGO;
2882;ESCUELA DIEGO PORTALES PALAZUELOS;AVENIDA EL PERAL KM 15 SIN NUMERO SECTOR EL PERAL;LOS ANGELES;DEL BIOBIO;
1148;ESCUELA GENERAL JOSE DE SAN MARTIN;AVENIDA ERCILLA 575  ;LOS ANGELES;DEL BIOBIO;
1149;ESCUELA HOGAR NIEVES VASQUEZ PALACIOS;AVENIDA SOR VICENTA 2965 SECTOR NORTE DE LOS ANGELES;LOS ANGELES;DEL BIOBIO;
1150;ESCUELA ISLA DE LAJA;BOMBERO RIOSECO 1164 POBLACION O'HIGGINS;LOS ANGELES;DEL BIOBIO;
1151;ESCUELA JOSE MANSO DE VELASCO;JOSE MANSO DE VELASCO 115 ESQUINA AVENIDA RICARDO VICUÑA OTE.;LOS ANGELES;DEL BIOBIO;
1145;ESCUELA MANUEL BLANCO ENCALADA;BLANCO ENCALADA 184  ;LOS ANGELES;DEL BIOBIO;
7411;ESCUELA PARTICULAR JUAN PABLO SEGUNDO;OROMPELLO 1565  ;LOS ANGELES;DEL BIOBIO;
1160;ESCUELA PEDRO RUIZ ALDEA;COLO COLO 1051 ESQUINA AVENIDA LOS ANGELES;LOS ANGELES;DEL BIOBIO;
1152;ESCUELA THOMAS JEFFERSON;MIRAFLORES 255  ;LOS ANGELES;DEL BIOBIO;
7428;LICEO AGROINDUSTRIAL LLANO BLANCO;CAMINO A SANTA BARBARA KM 22 SIN NUMERO SECTOR LLANO BLANCO;LOS ANGELES;DEL BIOBIO;
1153;LICEO ALEMAN DEL VERBO DIVINO;LYNCH 350  ;LOS ANGELES;DEL BIOBIO;
1154;LICEO COEDUCACIONAL SANTA MARIA DE LOS ANGELES;AVENIDA RICARDO VICUÑA 492  ;LOS ANGELES;DEL BIOBIO;
1155;LICEO COMERCIAL CAMILO HENRIQUEZ;GALVARINO 1310 POBLACION SANTIAGO BUERAS;LOS ANGELES;DEL BIOBIO;
1156;LICEO COMERCIAL DIEGO PORTALES PALAZUELOS;AVENIDA RICARDO VICUÑA 180  ;LOS ANGELES;DEL BIOBIO;
1157;LICEO INDUSTRIAL SAMUEL VIVANCO PARADA;COLO COLO 1151  ;LOS ANGELES;DEL BIOBIO;
1158;LICEO LOS ANGELES A-59;AVENIDA RICARDO VICUÑA 320  ;LOS ANGELES;DEL BIOBIO;
1159;LICEO PARTICULAR CARLOS CONDELL;ALCAZAR 450  ;LOS ANGELES;DEL BIOBIO;
1167;LICEO SANTA FE;O'HIGGINS SIN NUMERO SECTOR SANTA FE;LOS ANGELES;DEL BIOBIO;
3242;LICEO TECNICO BICENTENARIO JUANITA FERNANDEZ SOLAR;PATRICIO CASTRO 1051  ;LOS ANGELES;DEL BIOBIO;
1168;COLEGIO ANGEL DE PEREDO;CAUPOLICAN 398 LOTA BAJO;LOTA;DEL BIOBIO;
1170;ESCUELA BASICA BELLO HORIZONTE;VISTA HERMOSA 1165 LOTA ALTO;LOTA;DEL BIOBIO;
1172;ESCUELA BASICA SANTA MARIA DE GUADALUPE;PEDRO AGUIRRE CERDA 297 LOTA BAJO;LOTA;DEL BIOBIO;
3241;ESCUELA BASICA VALLE DE COLCURA;BRASILIA SIN NUMERO SECTOR COLCURA (COSTADO CECOSF);LOTA;DEL BIOBIO;
1174;ESCUELA ISIDORA GOYENECHEA;DARIO SALAS 365  ;LOTA;DEL BIOBIO;
13172;GIMNASIO MUNICIPAL;LOS COPIHUES 200-298  ;LOTA;DEL BIOBIO;
1175;INSTITUTO HUMANIDADES SAN FRANCISCO DE ASIS;CARLOS COUSIÑO 889  ;LOTA;DEL BIOBIO;
1169;LICEO BALDOMERO LILLO FIGUEROA;IGNACIO SERRANO 546 LOTA BAJO;LOTA;DEL BIOBIO;
1176;LICEO CARLOS COUSIÑO GOYENECHEA;CARLOS COUSIÑO 411 LOTA ALTO;LOTA;DEL BIOBIO;
1178;ESCUELA BASICA MULCHEN;VILLAGRAN 785 CENTRO;MULCHEN;DEL BIOBIO;
1179;ESCUELA VILLA LA GRANJA;LAS ARAUCARIAS 820 POBLACION VILLA LA GRANJA;MULCHEN;DEL BIOBIO;
1181;LICEO BICENTENARIO DE EXCELENCIA NUEVO MUNDO;SOTOMAYOR 1209  ;MULCHEN;DEL BIOBIO;
1180;LICEO MIGUEL ANGEL CERDA LEIVA;GANA 450 CENTRO;MULCHEN;DEL BIOBIO;
2131;ESCUELA JULIO MONTT SALAMANCA E-194;PEDRO PRADO 4375  ;MACUL;METROPOLITANA DE SANTIAGO;
1182;ESCUELA EL SABER;SAN MARTIN 480 CENTRO;NACIMIENTO;DEL BIOBIO;
2986;ESCUELA TOQUI LAUTARO;GALVARINO 650 POBLACION LAUTARO;NACIMIENTO;DEL BIOBIO;
1185;LICEO MUNICIPAL DE NACIMIENTO;PRIETO 880 SECTOR LOS CASTAÑOS;NACIMIENTO;DEL BIOBIO;
1186;ESCUELA BASICA VILLA COIGUE;JOAQUIN DIAZ GARCES SIN NUMERO SECTOR COIGUE;NEGRETE;DEL BIOBIO;
1187;LICEO POLIVALENTE LA FRONTERA;EMILIO SERRANO 2  ;NEGRETE;DEL BIOBIO;
7507;ESCUELA ALMIRANTE JORGE MONTT ALVAREZ;LORENZO RIVEROS 338 CERRO VERDE ALTO;PENCO;DEL BIOBIO;
1188;ESCUELA ALMIRANTE PATRICIO LYNCH;CAMILO HENRIQUEZ 6 LIRQUEN;PENCO;DEL BIOBIO;
1191;ESCUELA BASICA FORJADORES DE CHILE;CALLE EUSEBIO LILLO SIN NUMERO POBLACION FORJADORES DE CHILE;PENCO;DEL BIOBIO;
3040;ESCUELA EDUARDO CAMPBELL SAAVEDRA;CENTRAL 455 CERRO VERDE BAJO;PENCO;DEL BIOBIO;
1193;ESCUELA ISLA DE PASCUA;LAS HERAS 485 CENTRO;PENCO;DEL BIOBIO;
3138;ESCUELA LA GREDA;DOS PONIENTE 23 SECTOR LA GREDA;PENCO;DEL BIOBIO;
1196;LICEO PENCOPOLITANO;SAN VICENTE 51 TALCAHUANO 100;PENCO;DEL BIOBIO;
1197;LICEO BICENTENARIO VALLE DEL SOL QUILACO;AVENIDA ARTURO PRAT 1491  ;QUILACO;DEL BIOBIO;
1199;LICEO FRANCISCO BASCUÑAN GUERRERO;ARTURO PRAT 398  ;QUILLECO;DEL BIOBIO;
1198;LICEO ISABEL RIQUELME;AVENIDA LIBERTADOR O'HIGGINS SIN NUMERO SECTOR LAS CANTERAS;QUILLECO;DEL BIOBIO;
3018;COLEGIO ALEMAN DE CONCEPCION;CAMINO EL VENADO 1075  ;SAN PEDRO DE LA PAZ;DEL BIOBIO;
810;ESCUELA COSTA BLANCA;PELLINES SIN NUMERO  ;CONSTITUCION;DEL MAULE;
1202;COLEGIO CONCEPCION LOS HUERTOS;AVENIDA LAS MARGARITAS 1617 HUERTOS FAMILIARES;SAN PEDRO DE LA PAZ;DEL BIOBIO;
7549;COLEGIO EDUCA BIOBIO;TUCAPEL 918 SAN PEDRO DE LA COSTA;SAN PEDRO DE LA PAZ;DEL BIOBIO;
1200;COLEGIO FRATERNIDAD;AVENIDA LOS PARQUES 400 LOMAS COLORADAS;SAN PEDRO DE LA PAZ;DEL BIOBIO;
1204;COLEGIO INSTITUTO SAN PEDRO;LAS VIOLETAS 1975 HUERTOS FAMILIARES;SAN PEDRO DE LA PAZ;DEL BIOBIO;
1205;COLEGIO NUEVOS HORIZONTES;GALVARINO 3446 SAN PEDRO DE LA COSTA;SAN PEDRO DE LA PAZ;DEL BIOBIO;
7551;COLEGIO PARTICULAR ALBERTO BLEST GANA;DANIEL BELMAR 1451 BOCA SUR;SAN PEDRO DE LA PAZ;DEL BIOBIO;
1206;COLEGIO SAN IGNACIO;PASEO LOS BATROS 2350 SECTOR LAGUNA GRANDE;SAN PEDRO DE LA PAZ;DEL BIOBIO;
2890;ESCUELA BASICA BOCA BIO BIO SUR;AVENIDA DANIEL BELMAR 980 BOCA SUR;SAN PEDRO DE LA PAZ;DEL BIOBIO;
3172;ESCUELA BASICA LUIS ALBERTO ACEVEDO;CALLE COLO COLO 249 SAN PEDRO VIEJO;SAN PEDRO DE LA PAZ;DEL BIOBIO;
3038;ESCUELA BASICA MICHAIHUE;CALLE UNO 560 BOCA SUR;SAN PEDRO DE LA PAZ;DEL BIOBIO;
1207;ESCUELA DARIO SALAS MARCHANT;LOS ACACIOS 39 VILLA SAN PEDRO;SAN PEDRO DE LA PAZ;DEL BIOBIO;
1208;ESCUELA ENRIQUE SORO BARRIGA;AVENIDA LAS GARZAS SIN NUMERO VILLA CANDELARIA;SAN PEDRO DE LA PAZ;DEL BIOBIO;
1209;ESCUELA MIGUEL JOSE ZAÑARTU SANTA MARIA;PASAJE PEDRO ESTEBAN 145 VILLA SAN PEDRO;SAN PEDRO DE LA PAZ;DEL BIOBIO;
1189;COLEGIO EL REFUGIO;O'HIGGINS 115  ;PENCO;DEL BIOBIO;
2156;COMPLEJO EDUCACIONAL MAIPU;AVENIDA EL OLIMPO 1313  ;MAIPU;METROPOLITANA DE SANTIAGO;
2183;COMPLEJO EDUCACIONAL MAIPU ANEXO RINCONADA;AVENIDA RINCONADA 3120  ;MAIPU;METROPOLITANA DE SANTIAGO;
1210;ESCUELA SARGENTO CANDELARIA PEREZ;SARGENTO ALDEA 918 CANDELARIA;SAN PEDRO DE LA PAZ;DEL BIOBIO;
7579;LICEO PARTICULAR LOS ANDES;DANIEL BELMAR 825 BOCA SUR;SAN PEDRO DE LA PAZ;DEL BIOBIO;
1213;LICEO SAN PEDRO;LOS PEUMOS 25 VILLA SAN PEDRO;SAN PEDRO DE LA PAZ;DEL BIOBIO;
1214;LICEO ISIDORA AGUIRRE TUPPER;VALLEJOS 550  ;SAN ROSENDO;DEL BIOBIO;
1215;ESCUELA BASICA CACIQUE LEVIAN;ARTURO PRAT 111  ;SANTA BARBARA;DEL BIOBIO;
1216;ESCUELA BASICA ENRIQUE BERNSTEIN CARABANTES;DIEGO PORTALES 155  ;SANTA BARBARA;DEL BIOBIO;
1217;LICEO CARDENAL ANTONIO SAMORE;AVENIDA FEDERICO PUGA 400  ;SANTA BARBARA;DEL BIOBIO;
1218;ESCUELA DIEGO PORTALES;LUIS CRUZ MARTINEZ 705  ;SANTA JUANA;DEL BIOBIO;
1219;ESCUELA PARTICULAR CLORINDA AVELLO;JOSE CARDENIO AVELLO 240  ;SANTA JUANA;DEL BIOBIO;
1220;LICEO NUEVA ZELANDIA;ALAMEDA 589  ;SANTA JUANA;DEL BIOBIO;
1228;COLEGIO AMANECER TALCAHUANO;CALLE CLAUDIO GAY ORIENTE 4511 PARQUE RESIDENCIAL SAN MARCOS;TALCAHUANO;DEL BIOBIO;
2889;ESCUELA PARTICULAR SAN JOSE;LOS CASTAÑOS 7170 LOMAS COLORADAS;SAN PEDRO DE LA PAZ;DEL BIOBIO;
1201;COLEGIO GALVARINO;LOS MAÑIOS 6293 LOMAS COLORADAS;SAN PEDRO DE LA PAZ;DEL BIOBIO;
2894;COLEGIO BASICO LOS LOBOS;LAS GARZAS 193 LOS LOBOS;TALCAHUANO;DEL BIOBIO;
1222;COLEGIO BASICO NUEVA LOS LOBOS;PLAYA EL GALGO 1252 POBLACION NUEVA LOS LOBOS;TALCAHUANO;DEL BIOBIO;
1229;COLEGIO BASICO SAN VICENTE;BRASIL 396 SAN VICENTE;TALCAHUANO;DEL BIOBIO;
1230;COLEGIO ESPIRITU SANTO;DESIDERIO GARCIA 519  ;TALCAHUANO;DEL BIOBIO;
1232;COLEGIO HUACHIPATO;CARLOS URZUA 306 HIGUERAS;TALCAHUANO;DEL BIOBIO;
1233;COLEGIO LOS CONDORES;LAS HORTENSIAS 4850 LOS CONDORES;TALCAHUANO;DEL BIOBIO;
1234;COLEGIO MIXTO INMACULADA CONCEPCION;BULNES 271  ;TALCAHUANO;DEL BIOBIO;
1235;COLEGIO REMODELACION SIMONS;BENAVENTE 1035 REMODELACION SIMONS;TALCAHUANO;DEL BIOBIO;
1236;COLEGIO SANTA BERNARDITA;COLON 3761 SALINAS;TALCAHUANO;DEL BIOBIO;
1225;ESCUELA ARTURO PRAT CHACON;EJERCITO 330 POBLACION CARLOS CONDELL;TALCAHUANO;DEL BIOBIO;
7637;ESCUELA BASICA BUENA VISTA-ZAROR;ROSA LARENAS 115 CERRO BUENA VISTA;TALCAHUANO;DEL BIOBIO;
1223;ESCUELA BASICA CERRO SAN FRANCISCO;LOS ARAUCANOS 525 CERRO SAN FRANCISCO;TALCAHUANO;DEL BIOBIO;
1238;ESCUELA BASICA CRUZ DEL SUR;JUAN SOSA SEVERINO 318 CRUZ DEL SUR;TALCAHUANO;DEL BIOBIO;
1239;ESCUELA BASICA LA DAMA BLANCA;SARGENTO ALDEA 132  ;TALCAHUANO;DEL BIOBIO;
3409;ESCUELA BASICA LAS HIGUERAS;HECTOR BRAÑAS 505 HIGUERAS;TALCAHUANO;DEL BIOBIO;
2891;ESCUELA BASICA PENINSULA DE TUMBES;CALLE PRINCIPAL 80 CALETA TUMBES;TALCAHUANO;DEL BIOBIO;
1226;ESCUELA DIEGO PORTALES D 475;TARAPACA 830 POBLACION DIEGO PORTALES;TALCAHUANO;DEL BIOBIO;
2190;COLEGIO MELIPILLA;AVENIDA VICUÑA MACKENNA 900  ;MELIPILLA;METROPOLITANA DE SANTIAGO;
7661;ESCUELA SANTA CLARA;MANUEL MONTT 410 POBLACION SANTA CLARA;TALCAHUANO;DEL BIOBIO;
1227;ESCUELA SANTA LEONOR;ALEMPARTE 255 POBLACION SANTA LEONOR;TALCAHUANO;DEL BIOBIO;
1224;ESCUELA VILLA CENTINELA SUR;BAHIA INGLESA 1396 CERRO CENTINELA;TALCAHUANO;DEL BIOBIO;
1241;ESCUELA VILLA INDEPENDENCIA;RIO MAULE 5063 DENAVI SUR;TALCAHUANO;DEL BIOBIO;
1242;LICEO ALMIRANTE PEDRO ESPINA RITCHIE;AVENIDA BLANCO ENCALADA 750  ;TALCAHUANO;DEL BIOBIO;
1244;LICEO COMERCIAL PROFESOR SERGIO MORAGA ARCIL;ALMIRANTE NEFF 270 LAS SALINAS;TALCAHUANO;DEL BIOBIO;
1245;LICEO INDUSTRIAL JUAN ANTONIO RIOS;DESIDERIO GARCIA 979 HIGUERAS;TALCAHUANO;DEL BIOBIO;
1246;LICEO LA ASUNCION;LOS TILOS 350 HIGUERAS;TALCAHUANO;DEL BIOBIO;
1247;LICEO POLIVALENTE LAS SALINAS;ALMIRANTE NEFF 310 LAS SALINAS;TALCAHUANO;DEL BIOBIO;
1248;LICEO TECNICO DE TALCAHUANO;AVENIDA BLANCO ENCALADA 1250  ;TALCAHUANO;DEL BIOBIO;
1258;CENTRO EDUCACIONAL BICENTENARIO ALTOS DE TOME;ENRIQUE MOLINA G-809 SECTOR FRUTILLARES;TOME;DEL BIOBIO;
1255;COLEGIO PARTICULAR MARGARITA NASEAU;RIQUELME 1211  ;TOME;DEL BIOBIO;
1253;ESCUELA BASICA ARTURO PRAT;ARTURO PRAT 1315 CERRO NAVIDAD;TOME;DEL BIOBIO;
1254;ESCUELA BASICA BELLAVISTA;AVENIDA CENTRAL 890 BELLAVISTA;TOME;DEL BIOBIO;
3042;ESCUELA BASICA CALETA DEL MEDIO;AVENIDA COLIUMO SIN NUMERO SECTOR COLIUMO;TOME;DEL BIOBIO;
2933;ESCUELA BASICA COCHOLGUE F-426;AVENIDA ESTADIO SIN NUMERO SECTOR COCHOLGUE;TOME;DEL BIOBIO;
1251;ESCUELA BASICA DICHATO;DANIEL VERA 780 VILLA FRESIA, DICHATO;TOME;DEL BIOBIO;
