codigo_rec;recinto;Direccion;comuna;region;
2321;ESCUELA EL SALITRE;EL SALITRE 690  ;PUDAHUEL;METROPOLITANA DE SANTIAGO;
2322;ESCUELA ELVIRA SANTA CRUZ OSSA;SAN PABLO 9184  ;PUDAHUEL;METROPOLITANA DE SANTIAGO;
2323;ESCUELA ESTADO DE FLORIDA;SERRANO 1384  ;PUDAHUEL;METROPOLITANA DE SANTIAGO;
2324;ESCUELA ESTRELLA DE CHILE;SAN FRANCISCO 8550  ;PUDAHUEL;METROPOLITANA DE SANTIAGO;
2320;ESCUELA MELVIN JONES;LAGO SALADO 8403  ;PUDAHUEL;METROPOLITANA DE SANTIAGO;
2325;ESCUELA MONSEÑOR CARLOS OVIEDO;LOS EDILES 664  ;PUDAHUEL;METROPOLITANA DE SANTIAGO;
2326;ESCUELA SAN DANIEL;SERRANO 1370  ;PUDAHUEL;METROPOLITANA DE SANTIAGO;
2327;ESCUELA TENIENTE HERNAN MERINO CORREA;COPIAPO 1272  ;PUDAHUEL;METROPOLITANA DE SANTIAGO;
2331;LICEO MONSEÑOR ENRIQUE ALVEAR BASICA;AVENIDA LAGUNA SUR 8543  ;PUDAHUEL;METROPOLITANA DE SANTIAGO;DE TARAPACA
2334;LICEO MONSEÑOR ENRIQUE ALVEAR MEDIA;LA ESTRELLA 205  ;PUDAHUEL;METROPOLITANA DE SANTIAGO;
90057;C.D.P. DE PUENTE ALTO;IRARRAZABAL 991  ;PUENTE ALTO;METROPOLITANA DE SANTIAGO;
3010;ESCUELA NUESTRA SEÑORA Y MADRE DEL CARMEN;MERCED 1772  ;MELIPILLA;METROPOLITANA DE SANTIAGO;
13220;ESTADIO TIERRA DE CAMPEONES RAMON ESTAY SAAVEDRA;AVENIDA SALVADOR ALLENDE GOSSENS 2950  ;IQUIQUE;DE TARAPACA;
2734;ESCUELA ROMULO PEÑA MATURANA;LAS ACACIAS 2283  ;ARICA;DE ARICA Y PARINACOTA;
2563;LICEO PRESIDENTE GABRIEL GONZALEZ VIDELA;ARGOMEDO 360  ;SANTIAGO;METROPOLITANA DE SANTIAGO;
11;COLEGIO SALESIANO SANTO DOMINGO SAVIO;AVENIDA TENIENTE HERNAN MERINO CORREA SIN NUMERO ESQUINA AVENIDA LOS ALAMOS;ALTO HOSPICIO;DE TARAPACA;
24;COLEGIO REPUBLICA DE CROACIA;AVENIDA SALVADOR ALLENDE GOSSENS 1890  ;IQUIQUE;DE TARAPACA;
3418;COLEGIO ASCENSION NICOL;JUANA WEBER 4601  ;ESTACION CENTRAL;METROPOLITANA DE SANTIAGO;
12217;COLEGIO LAURA VICUÑA;GENERAL MONTECINOS 4051 POBLACION SAN PABLO;VALDIVIA;DE LOS RIOS;
2215;ESCUELA AURORA DE CHILE;SUECIA 2799  ;ÑUÑOA;METROPOLITANA DE SANTIAGO;
2040;COLEGIO SANTA MARIA REINA;ALCALDE FERNANDO CASTILLO VELASCO 7437  ;LA REINA;METROPOLITANA DE SANTIAGO;
2840;DINABEC COLLEGE;DIEGO PORTALES 980  ;SAN CARLOS;DE ÑUBLE;
2340;CENTRO EDUCACIONAL NUEVA CREACION;SARGENTO MENADIER 275  ;PUENTE ALTO;METROPOLITANA DE SANTIAGO;
2378;CENTRO EDUCACIONAL PRINCIPADO DE ASTURIAS;AVENIDA CONCHA Y TORO 2990  ;PUENTE ALTO;METROPOLITANA DE SANTIAGO;
